,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,New England Patriots 2014,12,4,0,468,313,7,1,0,5,3,0,4,2,0,9,3,0,3,1,0,3,2,0
1,Buffalo Bills 2014,9,7,0,343,289,5,3,0,4,4,0,4,2,0,5,7,0,4,0,0,3,2,0
2,Miami Dolphins 2014,8,8,0,388,373,4,4,0,4,4,0,3,3,0,6,6,0,2,2,0,2,3,0
3,New York Jets 2014,4,12,0,283,401,2,6,0,2,6,0,1,5,0,4,8,0,0,4,0,2,3,0
4,Pittsburgh Steelers 2014,11,5,0,436,368,6,2,0,5,3,0,4,2,0,9,3,0,2,2,0,4,1,0
5,Cincinnati Bengals 2014,10,5,1,365,344,5,2,1,5,3,0,3,3,0,7,5,0,3,0,1,3,2,0
6,Baltimore Ravens 2014,10,6,0,409,302,6,2,0,4,4,0,3,3,0,6,6,0,4,0,0,3,2,0
7,Cleveland Browns 2014,7,9,0,299,337,4,4,0,3,5,0,2,4,0,4,8,0,3,1,0,0,5,0
8,Indianapolis Colts 2014,11,5,0,458,369,6,2,0,5,3,0,6,0,0,9,3,0,2,2,0,4,1,0
9,Houston Texans 2014,9,7,0,372,307,5,3,0,4,4,0,4,2,0,8,4,0,1,3,0,4,1,0
10,Jacksonville Jaguars 2014,3,13,0,249,412,3,5,0,0,8,0,1,5,0,2,10,0,1,3,0,2,3,0
11,Tennessee Titans 2014,2,14,0,254,438,1,7,0,1,7,0,1,5,0,2,10,0,0,4,0,0,5,0
12,Denver Broncos 2014,12,4,0,482,354,8,0,0,4,4,0,6,0,0,10,2,0,2,2,0,4,1,0
13,Kansas City Chiefs 2014,9,7,0,353,281,6,2,0,3,5,0,3,3,0,7,5,0,2,2,0,2,3,0
14,Los Angeles Chargers 2014,9,7,0,348,348,5,3,0,4,4,0,2,4,0,6,6,0,3,1,0,2,3,0
15,Las Vegas Raiders 2014,3,13,0,253,452,3,5,0,0,8,0,1,5,0,2,10,0,1,3,0,2,3,0
16,Dallas Cowboys 2014,12,4,0,467,352,4,4,0,8,0,0,4,2,0,8,4,0,4,0,0,4,1,0
17,Philadelphia Eagles 2014,10,6,0,474,400,6,2,0,4,4,0,4,2,0,6,6,0,4,0,0,2,3,0
18,New York Giants 2014,6,10,0,380,400,3,5,0,3,5,0,2,4,0,4,8,0,2,2,0,3,2,0
19,Washington Commanders 2014,4,12,0,301,438,3,5,0,1,7,0,2,4,0,2,10,0,2,2,0,1,4,0
20,Green Bay Packers 2014,12,4,0,486,348,8,0,0,4,4,0,5,1,0,9,3,0,3,1,0,4,1,0
21,Detroit Lions 2014,11,5,0,321,282,7,1,0,4,4,0,5,1,0,9,3,0,2,2,0,4,1,0
22,Minnesota Vikings 2014,7,9,0,325,343,5,3,0,2,6,0,1,5,0,6,6,0,1,3,0,3,2,0
23,Chicago Bears 2014,5,11,0,319,442,2,6,0,3,5,0,1,5,0,4,8,0,1,3,0,0,5,0
24,Carolina Panthers 2014,7,8,1,339,374,4,4,0,3,4,1,4,2,0,6,6,0,1,2,1,4,1,0
25,New Orleans Saints 2014,7,9,0,401,424,3,5,0,4,4,0,3,3,0,6,6,0,1,3,0,3,2,0
26,Atlanta Falcons 2014,6,10,0,381,417,3,5,0,3,5,0,5,1,0,6,6,0,0,4,0,2,3,0
27,Tampa Bay Buccaneers 2014,2,14,0,277,410,0,8,0,2,6,0,0,6,0,1,11,0,1,3,0,0,5,0
28,Seattle Seahawks 2014,12,4,0,394,254,7,1,0,5,3,0,5,1,0,10,2,0,2,2,0,5,0,0
29,Arizona Cardinals 2014,11,5,0,310,299,7,1,0,4,4,0,3,3,0,8,4,0,3,1,0,2,3,0
30,San Francisco 49ers 2014,8,8,0,306,340,4,4,0,4,4,0,2,4,0,7,5,0,1,3,0,1,4,0
31,Los Angeles Rams 2014,6,10,0,324,354,3,5,0,3,5,0,2,4,0,4,8,0,2,2,0,2,3,0
